epoch,accuracy,auc,loss,lr,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
20,0.8312723636627197,0.9630405306816101,0.8085797429084778,1e-04,0.868725061416626,0.7855772376060486,0.7747936844825745,0.9346043467521667,0.9609857797622681,0.7989921569824219,0.7478055953979492
21,0.8673754930496216,0.9745577573776245,0.7372999787330627,1e-04,0.8964624404907227,0.8323124647140503,0.8101663589477539,0.9423695802688599,0.8854976296424866,0.8324068784713745,0.7847504019737244
22,0.8821449279785156,0.9793021082878113,0.7034987211227417,1e-04,0.9088202118873596,0.8535536527633667,0.7892047762870789,0.9496564865112305,0.9447852373123169,0.8132143616676331,0.7643128633499146
23,0.893562912940979,0.982507586479187,0.6776928305625916,1e-04,0.9168252348899841,0.8687853813171387,0.8203851580619812,0.9519675374031067,0.8551998734474182,0.8421052694320679,0.8007336854934692
24,0.9024847149848938,0.9842303991317749,0.6595267057418823,1e-04,0.922746479511261,0.878747284412384,0.7875016331672668,0.9391012191772461,0.9478367567062378,0.809833824634552,0.7660160064697266
25,0.9105281233787537,0.9863775372505188,0.6393003463745117,1e-04,0.9293114542961121,0.8894025087356567,0.8152757883071899,0.9458420872688293,0.8906797170639038,0.8360000252723694,0.7940521240234375
26,0.9176470637321472,0.9876247644424438,0.624555230140686,1e-04,0.9345623254776001,0.897538423538208,0.8271976709365845,0.9497631192207336,0.8728392720222473,0.8375067114830017,0.8150137662887573
27,0.9238414168357849,0.989100456237793,0.6093395352363586,1e-04,0.939726710319519,0.9059516787528992,0.8134416341781616,0.9525071382522583,0.8575139045715332,0.8375017046928406,0.7940521240234375
28,0.9258291721343994,0.9898775219917297,0.5994584560394287,1e-04,0.941096305847168,0.9095342755317688,0.8045329451560974,0.94105464220047,0.9105501770973206,0.8209362626075745,0.7880256772041321
29,0.9310528039932251,0.991104781627655,0.5876543521881104,1e-04,0.9446380138397217,0.9149659276008606,0.8245775103569031,0.9555997848510742,0.8390447497367859,0.8382869362831116,0.8129175901412964
30,0.9343118071556091,0.9919925928115845,0.5766170620918274,1e-04,0.9480522871017456,0.9191493988037109,0.8016507029533386,0.9373677968978882,0.9042502641677856,0.8193548321723938,0.7819992303848267
31,0.9385184049606323,0.992376983165741,0.5687862038612366,1e-04,0.9511579275131226,0.9227319955825806,0.8346652984619141,0.9226876497268677,0.8965250849723816,0.846216082572937,0.8218262791633606
32,0.9399283528327942,0.9924963712692261,0.5646565556526184,1e-04,0.9519269466400146,0.92543625831604,0.8282457590103149,0.9380812644958496,0.8668926358222961,0.842169463634491,0.8137036561965942
33,0.9408066272735596,0.993200421333313,0.5566900372505188,1e-04,0.9529227614402771,0.9272853136062622,0.8387265801429749,0.9554816484451294,0.8264581561088562,0.8485541343688965,0.8265426158905029
34,0.9442274570465088,0.9937537312507629,0.5481882691383362,1e-04,0.9563567638397217,0.9319311380386353,0.8553648591041565,0.968268871307373,0.7570004463195801,0.8663346171379089,0.8431809544563293
